time,symbol,side,long,short,confidence,price
2026-08-25T21:41:18.570927+00:00,ETH,WAIT,14,30,30,387284.0
2026-08-25T21:41:18.570933+00:00,XRP,WAIT,19,30,30,228.392
2026-08-25T21:41:18.570939+00:00,SOL,WAIT,49,26,49,15390.0
2026-08-25T21:47:05.104326+00:00,BTC,WAIT,44,26,44,12515899.0
2026-08-25T21:47:05.104347+00:00,ETH,WAIT,26,26,26,388950.0
2026-08-25T21:47:05.104353+00:00,XRP,WAIT,14,38,38,229.145
2026-08-25T21:47:05.104359+00:00,SOL,WAIT,44,20,44,15458.0
2026-08-25T21:52:49.830091+00:00,BTC,WAIT,44,26,44,12515899.0
2026-08-25T21:52:49.830113+00:00,ETH,WAIT,26,26,26,388950.0
2026-08-25T21:52:49.830119+00:00,XRP,WAIT,14,38,38,229.145
2026-08-25T21:52:49.830125+00:00,SOL,WAIT,44,20,44,15458.0
2026-08-25T21:58:37.615463+00:00,BTC,WAIT,44,26,44,12515899.0
2026-08-25T21:58:37.615484+00:00,ETH,WAIT,26,26,26,388950.0
2026-08-25T21:58:37.615490+00:00,XRP,WAIT,14,38,38,229.145
2026-08-25T21:58:37.615497+00:00,SOL,WAIT,44,20,44,15458.0
2026-08-25T21:59:46.486631+00:00,BTC,WAIT,44,26,44,12515899.0
2026-08-25T21:59:46.486652+00:00,ETH,WAIT,26,26,26,388950.0
2026-08-25T21:59:46.486658+00:00,XRP,WAIT,14,38,38,229.145
2026-08-25T21:59:46.486664+00:00,SOL,WAIT,44,20,44,15458.0
2026-08-25T22:05:31.462610+00:00,BTC,WAIT,58,26,58,12515514.0
2026-08-25T22:05:31.462631+00:00,ETH,WAIT,28,26,28,388913.0
2026-08-25T22:05:31.462636+00:00,XRP,WAIT,14,38,38,229.086
2026-08-25T22:05:31.462643+00:00,SOL,WAIT,44,20,44,15480.0
2026-08-25T22:11:16.865090+00:00,BTC,WAIT,58,26,58,12515514.0
2026-08-25T22:11:16.865110+00:00,ETH,WAIT,28,26,28,388913.0
2026-08-25T22:11:16.865116+00:00,XRP,WAIT,14,38,38,229.086
2026-08-25T22:11:16.865122+00:00,SOL,WAIT,44,20,44,15480.0
2026-08-25T22:17:04.463098+00:00,BTC,WAIT,58,10,58,12570000.0
2026-08-25T22:17:04.463119+00:00,ETH,WAIT,40,10,40,390390.0
2026-08-25T22:17:04.463125+00:00,XRP,WAIT,26,20,26,230.512
2026-08-25T22:17:04.463131+00:00,SOL,WAIT,32,10,32,15540.0
2026-08-25T22:22:50.925656+00:00,BTC,WAIT,58,10,58,12570000.0
2026-08-25T22:22:50.925677+00:00,ETH,WAIT,40,10,40,390390.0
2026-08-25T22:22:50.925683+00:00,XRP,WAIT,26,20,26,230.512
2026-08-25T22:22:50.925689+00:00,SOL,WAIT,32,10,32,15540.0
2026-08-25T22:28:42.702016+00:00,BTC,WAIT,58,10,58,12570000.0
2026-08-25T22:28:42.702037+00:00,ETH,WAIT,40,10,40,390390.0
2026-08-25T22:28:42.702043+00:00,XRP,WAIT,26,20,26,230.512
2026-08-25T22:28:42.702049+00:00,SOL,WAIT,32,10,32,15540.0
2026-08-25T22:34:30.806141+00:00,BTC,WAIT,32,32,32,12524555.0
2026-08-25T22:34:30.806162+00:00,ETH,WAIT,28,20,28,389517.0
2026-08-25T22:34:30.806168+00:00,XRP,WAIT,14,38,38,229.411
2026-08-25T22:34:30.806174+00:00,SOL,WAIT,32,10,32,15540.0
2026-08-25T22:40:21.505984+00:00,BTC,WAIT,32,32,32,12524555.0
2026-08-25T22:40:21.506005+00:00,ETH,WAIT,28,20,28,389517.0
2026-08-25T22:40:21.506011+00:00,XRP,WAIT,14,38,38,229.411
2026-08-25T22:40:21.506018+00:00,SOL,WAIT,32,20,32,15496.0
2026-08-25T22:46:06.447661+00:00,BTC,WAIT,32,32,32,12524555.0
2026-08-25T22:46:06.447682+00:00,ETH,WAIT,28,20,28,389517.0
2026-08-25T22:46:06.447688+00:00,XRP,WAIT,14,32,32,229.977
2026-08-25T22:46:06.447694+00:00,SOL,WAIT,32,20,32,15488.0
2026-08-25T22:51:55.329458+00:00,BTC,WAIT,60,10,60,12544697.0
2026-08-25T22:51:55.329481+00:00,ETH,WAIT,40,10,40,390269.0
2026-08-25T22:51:55.329487+00:00,XRP,WAIT,14,32,32,229.977
2026-08-25T22:51:55.329493+00:00,SOL,WAIT,32,20,32,15488.0
2026-08-25T22:57:43.748979+00:00,BTC,WAIT,60,10,60,12544697.0
2026-08-25T22:57:43.749000+00:00,ETH,WAIT,40,10,40,390269.0
2026-08-25T22:57:43.749006+00:00,XRP,WAIT,14,32,32,229.977
2026-08-25T22:57:43.749012+00:00,SOL,WAIT,32,20,32,15488.0
2026-08-25T23:03:30.197973+00:00,BTC,WAIT,60,10,60,12565530.0
2026-08-25T23:03:30.197995+00:00,ETH,WAIT,48,10,48,390816.0
2026-08-25T23:03:30.198001+00:00,XRP,WAIT,18,10,18,230.6
2026-08-25T23:03:30.198007+00:00,SOL,WAIT,44,10,44,15495.0
2026-08-25T23:04:29.633093+00:00,BTC,WAIT,60,10,60,12565530.0
2026-08-25T23:04:29.633114+00:00,ETH,WAIT,48,10,48,390816.0
2026-08-25T23:04:29.633121+00:00,XRP,WAIT,18,10,18,230.6
2026-08-25T23:04:29.633127+00:00,SOL,WAIT,44,10,44,15495.0
2026-08-25T23:10:11.458726+00:00,BTC,WAIT,60,10,60,12565530.0
2026-08-25T23:10:11.458747+00:00,ETH,WAIT,48,10,48,390816.0
2026-08-25T23:10:11.458753+00:00,XRP,WAIT,18,10,18,230.6
2026-08-25T23:10:11.458760+00:00,SOL,WAIT,44,10,44,15495.0
